,cost min,cost_max,cbest,Number of iterations needed to find solution,Solution found after (seconds),Explored_nodes_matrix
Run 1,100.0,100.62630605730286,0.993775921209448,1662,28.678200006484985,1662
Run 2,100.0,106.22120611434127,0.9414315997537772,753,8.277463912963867,753
Run 3,100.0,101.04123752616145,0.9896949250459065,823,10.054571628570557,823
Run 4,100.0,106.13583085695406,0.9421888837406502,2091,35.885021686553955,2091
Run 5,100.0,100.2432302795131,0.9975735989469325,998,13.069998502731323,998
Run 6,100.0,100.93987880656745,0.9906887266194508,1040,16.030967950820923,1040
Run 7,100.0,100.19016208061407,0.9981019884920331,967,20.005587339401245,967
Run 8,,,,3851,54.11898994445801,3851
Run 9,100.0,106.60689496688896,0.9380256317479184,1267,16.48237919807434,1267
Run 10,100.0,100.37075437868168,0.9963061513189102,976,11.44700312614441,976
