,cost min,cost_max,cbest,Number of iterations needed to find solution,Solution found after (seconds),Explored_nodes_matrix
Run 1,100.0,100.95304714641715,0.9905595009427016,4281,17.56363272666931,4281
Run 2,100.0,100.27076326870767,0.9972996787908947,1799,10.08511209487915,1799
Run 3,100.0,100.94474907030889,0.9906409290328627,4959,21.828706979751587,4959
Run 4,100.0,101.62788160766189,0.9839819389924275,261,7.425262212753296,261
Run 5,,,,8874,61.66698956489563,8874
Run 6,100.0,101.0067149328606,0.9900331880555687,996,9.119174242019653,996
Run 7,100.0,102.00508414440986,0.9803432920895272,1165,9.273834943771362,1165
Run 8,100.0,100.596651245045,0.9940688756766703,5155,27.24321985244751,5155
Run 9,,,,8639,61.63853859901428,8639
Run 10,,,,9057,61.61042785644531,9057
Run 11,,,,8998,61.710360050201416,8998
Run 12,100.0,101.59518831456693,0.9842985840074652,3470,16.464929819107056,3470
Run 13,100.0,101.79108985044898,0.9824042570613947,390,5.564570665359497,390
Run 14,100.0,101.04259906806391,0.9896815889765306,2395,11.581944227218628,2395
Run 15,,,,9012,61.72876453399658,9012
Run 16,100.0,101.90608266210116,0.9812956929330576,8239,53.231279611587524,8239
Run 17,100.0,101.72841619985476,0.9830095044784819,7977,44.36843013763428,7977
Run 18,100.0,101.03370103041463,0.9897687502301489,862,7.667140960693359,862
Run 19,100.0,101.0971507115898,0.9891475605012869,6080,28.249741792678833,6080
Run 20,,,,9123,61.84130787849426,9123
